,latitude_school,longitude_school,name_school
0,49.28071019999999,-123.1115084,Vancouver Community College
1,49.2724496,-123.0957245,Eton College Canada
2,49.2847903,-123.1136753,ILAC - International Language Academy of Canada
3,49.2803269,-123.1060349,International House Vancouver - Modern Languages
